description,industry,level,size,line_code,value
Planning same actions by central government to support adaptations: No,Accommodation & food services,1,total,C0802.02,1890
Planning same actions by central government to support adaptations: No,"Transport, postal, & warehousing",1,total,C0802.02,624
Planning same actions by central government to support adaptations: No,Information media & telecommunications,1,total,C0802.02,147
Planning same actions by central government to support adaptations: No,Publishing,2,total,C0802.02,51
Planning same actions by central government to support adaptations: No,Motion picture,2,total,C0802.02,60
Planning same actions by central government to support adaptations: No,Telecommunications,2,total,C0802.02,33
Planning same actions by central government to support adaptations: No,Financial & insurance services,1,total,C0802.02,201
Planning same actions by central government to support adaptations: No,Finance,2,total,C0802.02,48
Planning same actions by central government to support adaptations: No,Insurance,2,total,C0802.02,9
Planning same actions by central government to support adaptations: No,Auxiliary,2,total,C0802.02,147
Planning same actions by central government to support adaptations: No,"Rental, hiring, & real estate services",1,total,C0802.02,348
Planning same actions by central government to support adaptations: No,"Professional, scientific, & technical services",1,total,C0802.02,1935
Planning same actions by central government to support adaptations: No,Computer systems design,2,total,C0802.02,366
Planning same actions by central government to support adaptations: No,Other professional scientific,2,total,C0802.02,1575
Planning same actions by central government to support adaptations: No,Administrative & support services,1,total,C0802.02,576
Planning same actions by central government to support adaptations: No,Education & training,1,total,C0802.02,366
Planning same actions by central government to support adaptations: No,Health care & social assistance,1,total,C0802.02,870
Planning same actions by central government to support adaptations: No,Arts & recreation services,1,total,C0802.02,201
Planning same actions by central government to support adaptations: No,Other services,1,total,C0802.02,495
Planning same actions by central government to support adaptations: No,total,0,total,C0802.02,16644
Planning same actions by central government to support adaptations: Not applicable,total,0,6–19 employees,C0802.03,7707
Planning same actions by central government to support adaptations: Not applicable,total,0,20–49 employees,C0802.03,1686
Planning same actions by central government to support adaptations: Not applicable,total,0,50–99 employees,C0802.03,408
Planning same actions by central government to support adaptations: Not applicable,total,0,100+ employees,C0802.03,318
Planning same actions by central government to support adaptations: Not applicable,"Agriculture, forestry, & fishing",1,total,C0802.03,480
Planning same actions by central government to support adaptations: Not applicable,Agriculture,2,total,C0802.03,252
Planning same actions by central government to support adaptations: Not applicable,Commercial fishing,2,total,C0802.03,6
Planning same actions by central government to support adaptations: Not applicable,Forestry & logging,2,total,C0802.03,33
Planning same actions by central government to support adaptations: Not applicable,"Agriculture, forestry, & fishing support services",2,total,C0802.03,189
Planning same actions by central government to support adaptations: Not applicable,Mining,1,total,C0802.03,12
Planning same actions by central government to support adaptations: Not applicable,Manufacturing,1,total,C0802.03,861
Planning same actions by central government to support adaptations: Not applicable,"Food, beverage, & tobacco",2,total,C0802.03,195
Planning same actions by central government to support adaptations: Not applicable,"Textile, clothing, footwear, & leather",2,total,C0802.03,42
Planning same actions by central government to support adaptations: Not applicable,Wood & paper product,2,total,C0802.03,75
Planning same actions by central government to support adaptations: Not applicable,"Printing, publishing, & recorded media",2,total,C0802.03,33
Planning same actions by central government to support adaptations: Not applicable,"Petroleum, coal, chemical, & associated product",2,total,C0802.03,102
Planning same actions by central government to support adaptations: Not applicable,Non-metallic mineral product,2,total,C0802.03,36
Planning same actions by central government to support adaptations: Not applicable,Metal product,2,total,C0802.03,174
Planning same actions by central government to support adaptations: Not applicable,Transport and industrial machinery & equipment,2,total,C0802.03,75
Planning same actions by central government to support adaptations: Not applicable,Other machinery & equipment,2,total,C0802.03,60
Planning same actions by central government to support adaptations: Not applicable,Other manufacturing,2,total,C0802.03,66
Planning same actions by central government to support adaptations: Not applicable,"Electricity, gas, water, & waste services",1,total,C0802.03,24
Planning same actions by central government to support adaptations: Not applicable,Construction,1,total,C0802.03,1131
Planning same actions by central government to support adaptations: Not applicable,Wholesale trade,1,total,C0802.03,657
Planning same actions by central government to support adaptations: Not applicable,Machinery & equipment wholesaling,2,total,C0802.03,216
Planning same actions by central government to support adaptations: Not applicable,Other wholesale trade,2,total,C0802.03,441
Planning same actions by central government to support adaptations: Not applicable,Retail trade,1,total,C0802.03,894
Planning same actions by central government to support adaptations: Not applicable,Accommodation & food services,1,total,C0802.03,1248
Planning same actions by central government to support adaptations: Not applicable,"Transport, postal, & warehousing",1,total,C0802.03,138
Planning same actions by central government to support adaptations: Not applicable,Information media & telecommunications,1,total,C0802.03,159
Planning same actions by central government to support adaptations: Not applicable,Publishing,2,total,C0802.03,60
Planning same actions by central government to support adaptations: Not applicable,Motion picture,2,total,C0802.03,45
Planning same actions by central government to support adaptations: Not applicable,Telecommunications,2,total,C0802.03,51
Planning same actions by central government to support adaptations: Not applicable,Financial & insurance services,1,total,C0802.03,234
Planning same actions by central government to support adaptations: Not applicable,Finance,2,total,C0802.03,66
Planning same actions by central government to support adaptations: Not applicable,Insurance,2,total,C0802.03,9
Planning same actions by central government to support adaptations: Not applicable,Auxiliary,2,total,C0802.03,162
Planning same actions by central government to support adaptations: Not applicable,"Rental, hiring, & real estate services",1,total,C0802.03,282
Planning same actions by central government to support adaptations: Not applicable,"Professional, scientific, & technical services",1,total,C0802.03,1536
Planning same actions by central government to support adaptations: Not applicable,Computer systems design,2,total,C0802.03,312
Planning same actions by central government to support adaptations: Not applicable,Other professional scientific,2,total,C0802.03,1227
Planning same actions by central government to support adaptations: Not applicable,Administrative & support services,1,total,C0802.03,540
Planning same actions by central government to support adaptations: Not applicable,Education & training,1,total,C0802.03,414
Planning same actions by central government to support adaptations: Not applicable,Health care & social assistance,1,total,C0802.03,1059
Planning same actions by central government to support adaptations: Not applicable,Arts & recreation services,1,total,C0802.03,165
Planning same actions by central government to support adaptations: Not applicable,Other services,1,total,C0802.03,279
Planning same actions by central government to support adaptations: Not applicable,total,0,total,C0802.03,10119
Planning same actions by central government to support adaptations: Don't know,total,0,6–19 employees,C0802.04,8694
Planning same actions by central government to support adaptations: Don't know,total,0,20–49 employees,C0802.04,1767
Planning same actions by central government to support adaptations: Don't know,total,0,50–99 employees,C0802.04,444
Planning same actions by central government to support adaptations: Don't know,total,0,100+ employees,C0802.04,288
Planning same actions by central government to support adaptations: Don't know,"Agriculture, forestry, & fishing",1,total,C0802.04,774
Planning same actions by central government to support adaptations: Don't know,Agriculture,2,total,C0802.04,378
Planning same actions by central government to support adaptations: Don't know,Commercial fishing,2,total,C0802.04,12
Planning same actions by central government to support adaptations: Don't know,Forestry & logging,2,total,C0802.04,90
Planning same actions by central government to support adaptations: Don't know,"Agriculture, forestry, & fishing support services",2,total,C0802.04,291
Planning same actions by central government to support adaptations: Don't know,Mining,1,total,C0802.04,18
Planning same actions by central government to support adaptations: Don't know,Manufacturing,1,total,C0802.04,1266
Planning same actions by central government to support adaptations: Don't know,"Food, beverage, & tobacco",2,total,C0802.04,321
Planning same actions by central government to support adaptations: Don't know,"Textile, clothing, footwear, & leather",2,total,C0802.04,66
Planning same actions by central government to support adaptations: Don't know,Wood & paper product,2,total,C0802.04,87
Planning same actions by central government to support adaptations: Don't know,"Printing, publishing, & recorded media",2,total,C0802.04,75
Planning same actions by central government to support adaptations: Don't know,"Petroleum, coal, chemical, & associated product",2,total,C0802.04,99
Planning same actions by central government to support adaptations: Don't know,Non-metallic mineral product,2,total,C0802.04,45
Planning same actions by central government to support adaptations: Don't know,Metal product,2,total,C0802.04,258
Planning same actions by central government to support adaptations: Don't know,Transport and industrial machinery & equipment,2,total,C0802.04,198
Planning same actions by central government to support adaptations: Don't know,Other machinery & equipment,2,total,C0802.04,39
Planning same actions by central government to support adaptations: Don't know,Other manufacturing,2,total,C0802.04,81
Planning same actions by central government to support adaptations: Don't know,"Electricity, gas, water, & waste services",1,total,C0802.04,48
Planning same actions by central government to support adaptations: Don't know,Construction,1,total,C0802.04,1551
Planning same actions by central government to support adaptations: Don't know,Wholesale trade,1,total,C0802.04,711
Planning same actions by central government to support adaptations: Don't know,Machinery & equipment wholesaling,2,total,C0802.04,180
Planning same actions by central government to support adaptations: Don't know,Other wholesale trade,2,total,C0802.04,528
Planning same actions by central government to support adaptations: Don't know,Retail trade,1,total,C0802.04,1413
Planning same actions by central government to support adaptations: Don't know,Accommodation & food services,1,total,C0802.04,2736
Planning same actions by central government to support adaptations: Don't know,"Transport, postal, & warehousing",1,total,C0802.04,423
Planning same actions by central government to support adaptations: Don't know,Information media & telecommunications,1,total,C0802.04,48
Planning same actions by central government to support adaptations: Don't know,Publishing,2,total,C0802.04,18
Planning same actions by central government to support adaptations: Don't know,Motion picture,2,total,C0802.04,12
Planning same actions by central government to support adaptations: Don't know,Telecommunications,2,total,C0802.04,15
Planning same actions by central government to support adaptations: Don't know,Financial & insurance services,1,total,C0802.04,57
Planning same actions by central government to support adaptations: Don't know,Finance,2,total,C0802.04,24
Planning same actions by central government to support adaptations: Don't know,Insurance,2,total,C0802.04,3
Planning same actions by central government to support adaptations: Don't know,Auxiliary,2,total,C0802.04,33
Planning same actions by central government to support adaptations: Don't know,"Rental, hiring, & real estate services",1,total,C0802.04,201
Planning same actions by central government to support adaptations: Don't know,"Professional, scientific, & technical services",1,total,C0802.04,519
Planning same actions by central government to support adaptations: Don't know,Computer systems design,2,total,C0802.04,117
Planning same actions by central government to support adaptations: Don't know,Other professional scientific,2,total,C0802.04,405
Planning same actions by central government to support adaptations: Don't know,Administrative & support services,1,total,C0802.04,369
Planning same actions by central government to support adaptations: Don't know,Education & training,1,total,C0802.04,153
Planning same actions by central government to support adaptations: Don't know,Health care & social assistance,1,total,C0802.04,450
Planning same actions by central government to support adaptations: Don't know,Arts & recreation services,1,total,C0802.04,54
Planning same actions by central government to support adaptations: Don't know,Other services,1,total,C0802.04,396
Planning same actions by central government to support adaptations: Don't know,total,0,total,C0802.04,11193
Planning same actions by local government to reduce emissions: Yes,total,0,6–19 employees,C0803.01,6186
Planning same actions by local government to reduce emissions: Yes,total,0,20–49 employees,C0803.01,1680
Planning same actions by local government to reduce emissions: Yes,total,0,50–99 employees,C0803.01,666
Planning same actions by local government to reduce emissions: Yes,total,0,100+ employees,C0803.01,669
Planning same actions by local government to reduce emissions: Yes,"Agriculture, forestry, & fishing",1,total,C0803.01,1605
Planning same actions by local government to reduce emissions: Yes,Agriculture,2,total,C0803.01,1371
Planning same actions by local government to reduce emissions: Yes,Commercial fishing,2,total,C0803.01,9
Planning same actions by local government to reduce emissions: Yes,Forestry & logging,2,total,C0803.01,33
Planning same actions by local government to reduce emissions: Yes,"Agriculture, forestry, & fishing support services",2,total,C0803.01,192
Planning same actions by local government to reduce emissions: Yes,Mining,1,total,C0803.01,45
Planning same actions by local government to reduce emissions: Yes,Manufacturing,1,total,C0803.01,1053
Planning same actions by local government to reduce emissions: Yes,"Food, beverage, & tobacco",2,total,C0803.01,270
Planning same actions by local government to reduce emissions: Yes,"Textile, clothing, footwear, & leather",2,total,C0803.01,57
Planning same actions by local government to reduce emissions: Yes,Wood & paper product,2,total,C0803.01,105
Planning same actions by local government to reduce emissions: Yes,"Printing, publishing, & recorded media",2,total,C0803.01,39
Planning same actions by local government to reduce emissions: Yes,"Petroleum, coal, chemical, & associated product",2,total,C0803.01,129
Planning same actions by local government to reduce emissions: Yes,Non-metallic mineral product,2,total,C0803.01,60
Planning same actions by local government to reduce emissions: Yes,Metal product,2,total,C0803.01,138
Planning same actions by local government to reduce emissions: Yes,Transport and industrial machinery & equipment,2,total,C0803.01,135
Planning same actions by local government to reduce emissions: Yes,Other machinery & equipment,2,total,C0803.01,54
Planning same actions by local government to reduce emissions: Yes,Other manufacturing,2,total,C0803.01,69
Planning same actions by local government to reduce emissions: Yes,"Electricity, gas, water, & waste services",1,total,C0803.01,81
Planning same actions by local government to reduce emissions: Yes,Construction,1,total,C0803.01,1227
Planning same actions by local government to reduce emissions: Yes,Wholesale trade,1,total,C0803.01,564
Planning same actions by local government to reduce emissions: Yes,Machinery & equipment wholesaling,2,total,C0803.01,177
Planning same actions by local government to reduce emissions: Yes,Other wholesale trade,2,total,C0803.01,384
Planning same actions by local government to reduce emissions: Yes,Retail trade,1,total,C0803.01,801
Planning same actions by local government to reduce emissions: Yes,Accommodation & food services,1,total,C0803.01,975
Planning same actions by local government to reduce emissions: Yes,"Transport, postal, & warehousing",1,total,C0803.01,426
Planning same actions by local government to reduce emissions: Yes,Information media & telecommunications,1,total,C0803.01,75
Planning same actions by local government to reduce emissions: Yes,Publishing,2,total,C0803.01,27
Planning same actions by local government to reduce emissions: Yes,Motion picture,2,total,C0803.01,18
Planning same actions by local government to reduce emissions: Yes,Telecommunications,2,total,C0803.01,27
Planning same actions by local government to reduce emissions: Yes,Financial & insurance services,1,total,C0803.01,99
Planning same actions by local government to reduce emissions: Yes,Finance,2,total,C0803.01,60
Planning same actions by local government to reduce emissions: Yes,Insurance,2,total,C0803.01,9
Planning same actions by local government to reduce emissions: Yes,Auxiliary,2,total,C0803.01,36
Planning same actions by local government to reduce emissions: Yes,"Rental, hiring, & real estate services",1,total,C0803.01,171
Planning same actions by local government to reduce emissions: Yes,"Professional, scientific, & technical services",1,total,C0803.01,831
Planning same actions by local government to reduce emissions: Yes,Computer systems design,2,total,C0803.01,117
Planning same actions by local government to reduce emissions: Yes,Other professional scientific,2,total,C0803.01,717
Planning same actions by local government to reduce emissions: Yes,Administrative & support services,1,total,C0803.01,285
Planning same actions by local government to reduce emissions: Yes,Education & training,1,total,C0803.01,168
Planning same actions by local government to reduce emissions: Yes,Health care & social assistance,1,total,C0803.01,420
Planning same actions by local government to reduce emissions: Yes,Arts & recreation services,1,total,C0803.01,108
Planning same actions by local government to reduce emissions: Yes,Other services,1,total,C0803.01,252
Planning same actions by local government to reduce emissions: Yes,total,0,total,C0803.01,9204
Planning same actions by local government to reduce emissions: No,total,0,6–19 employees,C0803.02,12561
Planning same actions by local government to reduce emissions: No,total,0,20–49 employees,C0803.02,3003
Planning same actions by local government to reduce emissions: No,total,0,50–99 employees,C0803.02,849
Planning same actions by local government to reduce emissions: No,total,0,100+ employees,C0803.02,600
Planning same actions by local government to reduce emissions: No,"Agriculture, forestry, & fishing",1,total,C0803.02,1002
Planning same actions by local government to reduce emissions: No,Agriculture,2,total,C0803.02,588
Planning same actions by local government to reduce emissions: No,Commercial fishing,2,total,C0803.02,24
Planning same actions by local government to reduce emissions: No,Forestry & logging,2,total,C0803.02,99
Planning same actions by local government to reduce emissions: No,"Agriculture, forestry, & fishing support services",2,total,C0803.02,291
Planning same actions by local government to reduce emissions: No,Mining,1,total,C0803.02,39
Planning same actions by local government to reduce emissions: No,Manufacturing,1,total,C0803.02,2229
Planning same actions by local government to reduce emissions: No,"Food, beverage, & tobacco",2,total,C0803.02,411
Planning same actions by local government to reduce emissions: No,"Textile, clothing, footwear, & leather",2,total,C0803.02,99
Planning same actions by local government to reduce emissions: No,Wood & paper product,2,total,C0803.02,252
Planning same actions by local government to reduce emissions: No,"Printing, publishing, & recorded media",2,total,C0803.02,72
Planning same actions by local government to reduce emissions: No,"Petroleum, coal, chemical, & associated product",2,total,C0803.02,117
Planning same actions by local government to reduce emissions: No,Non-metallic mineral product,2,total,C0803.02,81
Planning same actions by local government to reduce emissions: No,Metal product,2,total,C0803.02,417
Planning same actions by local government to reduce emissions: No,Transport and industrial machinery & equipment,2,total,C0803.02,519
Planning same actions by local government to reduce emissions: No,Other machinery & equipment,2,total,C0803.02,99
Planning same actions by local government to reduce emissions: No,Other manufacturing,2,total,C0803.02,159
Planning same actions by local government to reduce emissions: No,"Electricity, gas, water, & waste services",1,total,C0803.02,39
Planning same actions by local government to reduce emissions: No,Construction,1,total,C0803.02,2814
Planning same actions by local government to reduce emissions: No,Wholesale trade,1,total,C0803.02,1209
Planning same actions by local government to reduce emissions: No,Machinery & equipment wholesaling,2,total,C0803.02,375
Planning same actions by local government to reduce emissions: No,Other wholesale trade,2,total,C0803.02,831
Planning same actions by local government to reduce emissions: No,Retail trade,1,total,C0803.02,1812
Planning same actions by local government to reduce emissions: No,Accommodation & food services,1,total,C0803.02,1923
Planning same actions by local government to reduce emissions: No,"Transport, postal, & warehousing",1,total,C0803.02,675
Planning same actions by local government to reduce emissions: No,Information media & telecommunications,1,total,C0803.02,141
Planning same actions by local government to reduce emissions: No,Publishing,2,total,C0803.02,48
Planning same actions by local government to reduce emissions: No,Motion picture,2,total,C0803.02,57
Planning same actions by local government to reduce emissions: No,Telecommunications,2,total,C0803.02,33
Planning same actions by local government to reduce emissions: No,Financial & insurance services,1,total,C0803.02,225
Planning same actions by local government to reduce emissions: No,Finance,2,total,C0803.02,54
Planning same actions by local government to reduce emissions: No,Insurance,2,total,C0803.02,12
Planning same actions by local government to reduce emissions: No,Auxiliary,2,total,C0803.02,159
Planning same actions by local government to reduce emissions: No,"Rental, hiring, & real estate services",1,total,C0803.02,375
Planning same actions by local government to reduce emissions: No,"Professional, scientific, & technical services",1,total,C0803.02,1953
Planning same actions by local government to reduce emissions: No,Computer systems design,2,total,C0803.02,378
Planning same actions by local government to reduce emissions: No,Other professional scientific,2,total,C0803.02,1578
Planning same actions by local government to reduce emissions: No,Administrative & support services,1,total,C0803.02,594
Planning same actions by local government to reduce emissions: No,Education & training,1,total,C0803.02,366
Planning same actions by local government to reduce emissions: No,Health care & social assistance,1,total,C0803.02,906
Planning same actions by local government to reduce emissions: No,Arts & recreation services,1,total,C0803.02,207
Planning same actions by local government to reduce emissions: No,Other services,1,total,C0803.02,495
Planning same actions by local government to reduce emissions: No,total,0,total,C0803.02,17013
Planning same actions by local government to reduce emissions: Not applicable,total,0,6–19 employees,C0803.03,7380
Planning same actions by local government to reduce emissions: Not applicable,total,0,20–49 employees,C0803.03,1725
Planning same actions by local government to reduce emissions: Not applicable,total,0,50–99 employees,C0803.03,420
Planning same actions by local government to reduce emissions: Not applicable,total,0,100+ employees,C0803.03,339
Planning same actions by local government to reduce emissions: Not applicable,"Agriculture, forestry, & fishing",1,total,C0803.03,465
Planning same actions by local government to reduce emissions: Not applicable,Agriculture,2,total,C0803.03,207
Planning same actions by local government to reduce emissions: Not applicable,Commercial fishing,2,total,C0803.03,6
Planning same actions by local government to reduce emissions: Not applicable,Forestry & logging,2,total,C0803.03,39
Planning same actions by local government to reduce emissions: Not applicable,"Agriculture, forestry, & fishing support services",2,total,C0803.03,216
Planning same actions by local government to reduce emissions: Not applicable,Mining,1,total,C0803.03,9
Planning same actions by local government to reduce emissions: Not applicable,Manufacturing,1,total,C0803.03,825
Planning same actions by local government to reduce emissions: Not applicable,"Food, beverage, & tobacco",2,total,C0803.03,201
Planning same actions by local government to reduce emissions: Not applicable,"Textile, clothing, footwear, & leather",2,total,C0803.03,45
Planning same actions by local government to reduce emissions: Not applicable,Wood & paper product,2,total,C0803.03,78
Planning same actions by local government to reduce emissions: Not applicable,"Printing, publishing, & recorded media",2,total,C0803.03,39
Planning same actions by local government to reduce emissions: Not applicable,"Petroleum, coal, chemical, & associated product",2,total,C0803.03,99
Planning same actions by local government to reduce emissions: Not applicable,Non-metallic mineral product,2,total,C0803.03,27
Planning same actions by local government to reduce emissions: Not applicable,Metal product,2,total,C0803.03,144
Planning same actions by local government to reduce emissions: Not applicable,Transport and industrial machinery & equipment,2,total,C0803.03,72
Planning same actions by local government to reduce emissions: Not applicable,Other machinery & equipment,2,total,C0803.03,57
Planning same actions by local government to reduce emissions: Not applicable,Other manufacturing,2,total,C0803.03,63
Planning same actions by local government to reduce emissions: Not applicable,"Electricity, gas, water, & waste services",1,total,C0803.03,27
Planning same actions by local government to reduce emissions: Not applicable,Construction,1,total,C0803.03,1068
Planning same actions by local government to reduce emissions: Not applicable,Wholesale trade,1,total,C0803.03,708
Planning same actions by local government to reduce emissions: Not applicable,Machinery & equipment wholesaling,2,total,C0803.03,237
Planning same actions by local government to reduce emissions: Not applicable,Other wholesale trade,2,total,C0803.03,471
Planning same actions by local government to reduce emissions: Not applicable,Retail trade,1,total,C0803.03,942
Planning same actions by local government to reduce emissions: Not applicable,Accommodation & food services,1,total,C0803.03,1167
Planning same actions by local government to reduce emissions: Not applicable,"Transport, postal, & warehousing",1,total,C0803.03,102
Planning same actions by local government to reduce emissions: Not applicable,Information media & telecommunications,1,total,C0803.03,156
Planning same actions by local government to reduce emissions: Not applicable,Publishing,2,total,C0803.03,57
Planning same actions by local government to reduce emissions: Not applicable,Motion picture,2,total,C0803.03,42
Planning same actions by local government to reduce emissions: Not applicable,Telecommunications,2,total,C0803.03,57
Planning same actions by local government to reduce emissions: Not applicable,Financial & insurance services,1,total,C0803.03,246
Planning same actions by local government to reduce emissions: Not applicable,Finance,2,total,C0803.03,66
Planning same actions by local government to reduce emissions: Not applicable,Insurance,2,total,C0803.03,12
Planning same actions by local government to reduce emissions: Not applicable,Auxiliary,2,total,C0803.03,171
Planning same actions by local government to reduce emissions: Not applicable,"Rental, hiring, & real estate services",1,total,C0803.03,252
Planning same actions by local government to reduce emissions: Not applicable,"Professional, scientific, & technical services",1,total,C0803.03,1533
Planning same actions by local government to reduce emissions: Not applicable,Computer systems design,2,total,C0803.03,336
Planning same actions by local government to reduce emissions: Not applicable,Other professional scientific,2,total,C0803.03,1203
Planning same actions by local government to reduce emissions: Not applicable,Administrative & support services,1,total,C0803.03,525
Planning same actions by local government to reduce emissions: Not applicable,Education & training,1,total,C0803.03,420
Planning same actions by local government to reduce emissions: Not applicable,Health care & social assistance,1,total,C0803.03,1017
Planning same actions by local government to reduce emissions: Not applicable,Arts & recreation services,1,total,C0803.03,147
Planning same actions by local government to reduce emissions: Not applicable,Other services,1,total,C0803.03,240
Planning same actions by local government to reduce emissions: Not applicable,total,0,total,C0803.03,9864
Planning same actions by local government to reduce emissions: Don't know,total,0,6–19 employees,C0803.04,8862
Planning same actions by local government to reduce emissions: Don't know,total,0,20–49 employees,C0803.04,1719
Planning same actions by local government to reduce emissions: Don't know,total,0,50–99 employees,C0803.04,456
Planning same actions by local government to reduce emissions: Don't know,total,0,100+ employees,C0803.04,309
Planning same actions by local government to reduce emissions: Don't know,"Agriculture, forestry, & fishing",1,total,C0803.04,777
Planning same actions by local government to reduce emissions: Don't know,Agriculture,2,total,C0803.04,360
Planning same actions by local government to reduce emissions: Don't know,Commercial fishing,2,total,C0803.04,12
Planning same actions by local government to reduce emissions: Don't know,Forestry & logging,2,total,C0803.04,93
Planning same actions by local government to reduce emissions: Don't know,"Agriculture, forestry, & fishing support services",2,total,C0803.04,312
Planning same actions by local government to reduce emissions: Don't know,Mining,1,total,C0803.04,18
Planning same actions by local government to reduce emissions: Don't know,Manufacturing,1,total,C0803.04,1314
Planning same actions by local government to reduce emissions: Don't know,"Food, beverage, & tobacco",2,total,C0803.04,330
Planning same actions by local government to reduce emissions: Don't know,"Textile, clothing, footwear, & leather",2,total,C0803.04,60
Planning same actions by local government to reduce emissions: Don't know,Wood & paper product,2,total,C0803.04,105
Planning same actions by local government to reduce emissions: Don't know,"Printing, publishing, & recorded media",2,total,C0803.04,75
Planning same actions by local government to reduce emissions: Don't know,"Petroleum, coal, chemical, & associated product",2,total,C0803.04,108
Planning same actions by local government to reduce emissions: Don't know,Non-metallic mineral product,2,total,C0803.04,51
Planning same actions by local government to reduce emissions: Don't know,Metal product,2,total,C0803.04,285
Planning same actions by local government to reduce emissions: Don't know,Transport and industrial machinery & equipment,2,total,C0803.04,183
Planning same actions by local government to reduce emissions: Don't know,Other machinery & equipment,2,total,C0803.04,39
Planning same actions by local government to reduce emissions: Don't know,Other manufacturing,2,total,C0803.04,81
Planning same actions by local government to reduce emissions: Don't know,"Electricity, gas, water, & waste services",1,total,C0803.04,48
Planning same actions by local government to reduce emissions: Don't know,Construction,1,total,C0803.04,1575
Planning same actions by local government to reduce emissions: Don't know,Wholesale trade,1,total,C0803.04,735
Planning same actions by local government to reduce emissions: Don't know,Machinery & equipment wholesaling,2,total,C0803.04,174
Planning same actions by local government to reduce emissions: Don't know,Other wholesale trade,2,total,C0803.04,558
Planning same actions by local government to reduce emissions: Don't know,Retail trade,1,total,C0803.04,1368
Planning same actions by local government to reduce emissions: Don't know,Accommodation & food services,1,total,C0803.04,2667
Planning same actions by local government to reduce emissions: Don't know,"Transport, postal, & warehousing",1,total,C0803.04,465
Planning same actions by local government to reduce emissions: Don't know,Information media & telecommunications,1,total,C0803.04,57
Planning same actions by local government to reduce emissions: Don't know,Publishing,2,total,C0803.04,24
Planning same actions by local government to reduce emissions: Don't know,Motion picture,2,total,C0803.04,15
Planning same actions by local government to reduce emissions: Don't know,Telecommunications,2,total,C0803.04,15
Planning same actions by local government to reduce emissions: Don't know,Financial & insurance services,1,total,C0803.04,63
Planning same actions by local government to reduce emissions: Don't know,Finance,2,total,C0803.04,24
Planning same actions by local government to reduce emissions: Don't know,Insurance,2,total,C0803.04,6
Planning same actions by local government to reduce emissions: Don't know,Auxiliary,2,total,C0803.04,36
Planning same actions by local government to reduce emissions: Don't know,"Rental, hiring, & real estate services",1,total,C0803.04,240
Planning same actions by local government to reduce emissions: Don't know,"Professional, scientific, & technical services",1,total,C0803.04,540
Planning same actions by local government to reduce emissions: Don't know,Computer systems design,2,total,C0803.04,114
Planning same actions by local government to reduce emissions: Don't know,Other professional scientific,2,total,C0803.04,429
Planning same actions by local government to reduce emissions: Don't know,Administrative & support services,1,total,C0803.04,363
Planning same actions by local government to reduce emissions: Don't know,Education & training,1,total,C0803.04,147
Planning same actions by local government to reduce emissions: Don't know,Health care & social assistance,1,total,C0803.04,492
Planning same actions by local government to reduce emissions: Don't know,Arts & recreation services,1,total,C0803.04,57
Planning same actions by local government to reduce emissions: Don't know,Other services,1,total,C0803.04,408
Planning same actions by local government to reduce emissions: Don't know,total,0,total,C0803.04,11343
Planning same actions by local government to support adaptations: Yes,total,0,6–19 employees,C0804.01,6156
Planning same actions by local government to support adaptations: Yes,total,0,20–49 employees,C0804.01,1713
Planning same actions by local government to support adaptations: Yes,total,0,50–99 employees,C0804.01,675
Planning same actions by local government to support adaptations: Yes,total,0,100+ employees,C0804.01,669
Planning same actions by local government to support adaptations: Yes,"Agriculture, forestry, & fishing",1,total,C0804.01,1680
Planning same actions by local government to support adaptations: Yes,Agriculture,2,total,C0804.01,1392
Planning same actions by local government to support adaptations: Yes,Commercial fishing,2,total,C0804.01,18
Planning same actions by local government to support adaptations: Yes,Forestry & logging,2,total,C0804.01,66
Planning same actions by local government to support adaptations: Yes,"Agriculture, forestry, & fishing support services",2,total,C0804.01,207
Planning same actions by local government to support adaptations: Yes,Mining,1,total,C0804.01,48
Planning same actions by local government to support adaptations: Yes,Manufacturing,1,total,C0804.01,1074
Planning same actions by local government to support adaptations: Yes,"Food, beverage, & tobacco",2,total,C0804.01,291
Planning same actions by local government to support adaptations: Yes,"Textile, clothing, footwear, & leather",2,total,C0804.01,48
Planning same actions by local government to support adaptations: Yes,Wood & paper product,2,total,C0804.01,105
Planning same actions by local government to support adaptations: Yes,"Printing, publishing, & recorded media",2,total,C0804.01,39
Planning same actions by local government to support adaptations: Yes,"Petroleum, coal, chemical, & associated product",2,total,C0804.01,129
Planning same actions by local government to support adaptations: Yes,Non-metallic mineral product,2,total,C0804.01,66
Planning same actions by local government to support adaptations: Yes,Metal product,2,total,C0804.01,129
Planning same actions by local government to support adaptations: Yes,Transport and industrial machinery & equipment,2,total,C0804.01,150
Planning same actions by local government to support adaptations: Yes,Other machinery & equipment,2,total,C0804.01,54
Planning same actions by local government to support adaptations: Yes,Other manufacturing,2,total,C0804.01,63
Planning same actions by local government to support adaptations: Yes,"Electricity, gas, water, & waste services",1,total,C0804.01,84
Planning same actions by local government to support adaptations: Yes,Construction,1,total,C0804.01,1179
Planning same actions by local government to support adaptations: Yes,Wholesale trade,1,total,C0804.01,573
Planning same actions by local government to support adaptations: Yes,Machinery & equipment wholesaling,2,total,C0804.01,162
Planning same actions by local government to support adaptations: Yes,Other wholesale trade,2,total,C0804.01,408
Planning same actions by local government to support adaptations: Yes,Retail trade,1,total,C0804.01,816
Planning same actions by local government to support adaptations: Yes,Accommodation & food services,1,total,C0804.01,906
